AGGH,Honiara International Airport
ESOH,Hagfors Airport
ESOK,Karlstad Airport
ESOW,Stockholm Västerås Airport
ESPA,Luleå Airport
ESPE,Vidsel Air Base
ESSA,Stockholm-Arlanda Airport
ESSB,Stockholm-Bromma Airport
ESSD,Borlange Airport
ESSL,Linköping City Airport
ESSP,Norrköping Airport
ESST,Torsby Airport
ESSV,Visby Airport
ESTA,Ängelholm-Helsingborg Airport
ESTL,Ljungbyhed Airport
ESUP,Pajala Airport
ESUT,Hemavan Airport
ETAD,Spangdahlem Air Base
ETAR,Ramstein Air Base
ETEB,Ansbach Army Heliport
ETHA,Altenstadt Army Airfield
ETHB,Bückeburg Air Base
ETHC,Celle Airport
ETHF,Fritzlar Airport
ETHL,Laupheim Air Base
ETHN,Niederstetten Army Air Base
ETHS,Fassberg Air Base
ETIC,Grafenwohr Army Air Field
ETIH,Hohenfels Army Air Field
ETIK,Illesheim Air Base
ETMN,Nordholz Naval Airbase
ETNG,Geilenkirchen Air Base
ETNH,Hohn Air Base
ETNL,Rostock-Laage Airport
ETNN,Nörvenich Air Base
ETNS,Schleswig Air Base
ETNT,Wittmundhafen Airport
ETNW,Wunstorf Air Base
ETOU,Wiesbaden Army Airfield
ETSB,Büchel Air Base
ETSH,Holzdorf Air Base
ETSI,Ingolstadt Manching Airport
ETSL,Lechfeld Air Base
ETSN,Neuburg AFB
ETWM,Meppen Air Base
EVLA,Liepāja International Airport
EVRA,Riga International Airport
EVVA,Ventspils International Airport
EYKA,Kaunas International Airport
EYPA,Palanga International Airport
EYSA,Šiauliai International Airport
EYVI,Vilnius International Airport
FABL,Bram Fischer International Airport
FACT,Cape Town International Airport
FAGG,George Airport
FAKM,Kimberley Airport
FAKN,Kruger Mpumalanga International Airport
FALA,Lanseria Airport
FALE,King Shaka International Airport
FALW,Langebaanweg Airport
FAMM,Mmabatho International Airport
FAOB,Overberg Airport
FAOR,OR Tambo International Airport
FAPE,Port Elizabeth Airport
FAPP,Polokwane International Airport
FAUP,Pierre Van Ryneveld Airport
FAUT,K. D. Matanzima Airport
FAVV,Vereeniging Airport
FBMN,Maun Airport
FBSK,Sir Seretse Khama International Airport
FCBB,Maya-Maya Airport
FEFF,Bangui M'Poko International Airport
FGBT,Bata Airport
FGSL,Malabo Airport
FIMP,Sir Seewoosagur Ramgoolam International Airport
FJDG,Diego Garcia Naval Support Facility
FKKD,Douala International Airport
FKYS,Yaoundé Nsimalen International Airport
FMCZ,Dzaoudzi Pamandzi International Airport
FMEE,Roland Garros Airport
FMEP,Pierrefonds Airport
FMMI,Ivato Airport
FMMT,Toamasina Airport
FMNM,Amborovy Airport
FNLU,Quatro de Fevereiro Airport
FOOG,Port Gentil Airport
FOOL,Libreville Leon M'ba International Airport
FPST,São Tomé International Airport
FQBR,Beira Airport
FQNP,Nampula Airport
FQTT,Chingozi Airport
FSIA,Seychelles International Airport
FTTA,Sarh Airport
FTTJ,N'Djamena International Airport
FYGB,Gobabis Airport
FYKM,Katima Mulilo Airport
FYKT,Keetmanshoop Airport
FYLZ,Luderitz Airport
FYOA,Ondangwa Airport
FYOO,Okaukuejo Airport
FYOW,Otjiwarongo Airport
FYRU,Rundu Airport
FYWB,Walvis Bay Airport
FZAA,Ndjili International Airport
GABS,Modibo Keita International Airport
GAMB,Mopti Airport
GANR,Nioro du Sahel Airport
GBYD,Banjul International Airport
GCFV,Fuerteventura Airport
GCGM,La Gomera Airport
GCHI,Hierro Airport
GCLA,La Palma Airport
GCLP,Gran Canaria Airport
GCRR,Lanzarote Airport
GCTS,Tenerife South Airport
GCXO,Tenerife Norte Airport
GEML,Melilla Airport
GMAD,Al Massira Airport
GMFF,Saïss Airport
GMFK,Moulay Ali Cherif Airport
GMFO,Angads Airport
GMME,Rabat-Salé Airport
GMMN,Mohammed V International Airport
GMMW,Nador International Airport
GMMX,Menara Airport
GMMZ,Ouarzazate Airport
GMTA,Cherif Al Idrissi Airport
GMTN,Saniat R'mel Airport
GMTT,Ibn Batouta Airport
GOBD,Blaise Diagne International Airport
GOGG,Ziguinchor Airport
GOGS,Cap Skirring Airport
GOOK,Kaolack Airport
GOOY,Léopold Sédar Senghor International Airport
GOSM,Ouro Sogui Airport
GOSP,Podor Airport
GOSS,Saint Louis Airport
GOTT,Tambacounda Airport
GQNO,Nouakchott–Oumtounsy International Airport
GQPP,Nouadhibou International Airport
GVAC,Amílcar Cabral International Airport
GVNP,Praia International Airport
GVSV,São Pedro Airport
HECA,Cairo International Airport
HKEL,Eldoret International Airport
HKJK,Jomo Kenyatta International Airport
HKKI,Kisumu Airport
HKMO,Mombasa Moi International Airport
HRYR,Kigali International Airport
HSSS,Khartoum International Airport
HTAR,Arusha Airport
HTBU,Bukoba Airport
HTDA,Julius Nyerere International Airport
HTDO,Dodoma Airport
HTIR,Iringa Airport
HTKA,Kigoma Airport
HTKJ,Kilimanjaro International Airport
HTMG,Morogoro Airport
HTMT,Mtwara Airport
HTMU,Musoma Airport
HTMW,Mwanza Airport
HTSO,Songea Airport
HTSU,Sumbawanga Airport
HTTB,Tabora Airport
HTZA,Abeid Amani Karume International Airport
HUEN,Entebbe International Airport
K05U,Eureka Airport
K06C,Schaumburg Regional Airport
K06D,Rolla Municipal Airport
K08D,Stanley Municipal Airport
K0A9,Elizabethton Municipal Airport
K0E0,Moriarty Municipal Airport
K0F2,Bowie Municipal Airport
K0J4,Florala Municipal Airport
K0R4,Concordia Parish Airport
K0S9,Jefferson County International Airport
K0V4,Brookneal/Campbell County Airport
K0VG,Lee County Airport
K11R,Brenham Municipal Airport
K12N,Aeroflex-Andover Airport
K13K,Eureka Municipal Airport
K14Y,Todd Field
K17J,Donalsonville Municipal Airport
K18A,Franklin County Airport
K19S,Sublette Municipal Airport
K1A6,Middlesboro-Bell County Airport
K1A9,Prattville - Grouby Field
K1F0,Ardmore Downtown Executive Airport
K1H2,Effingham County Memorial Airport
K1J0,Tri-County Airport
K1M4,Posey Field
K1M5,Portland Municipal Airport
K1R7,Brookhaven-Lincoln County Airport
K1S5,Sunnyside Municipal Airport
K1U7,Bear Lake County Airport
K1V6,Fremont County Airport
K20U,Beach Airport
K20V,Mc Elroy Airfield
K21D,Lake Elmo Airport
K22N,Jake Arner Memorial Airport
K24J,Suwannee County Airport
K28J,Palatka Municipal - Lt. Kay Larkin Field
K2A0,Mark Anton Airport
K2D5,Oakes Municipal Airport
K2G4,Garrett County Airport
K2G9,Somerset County Airport
K2I0,Madisonville Municipal Airport
K2IS,Airglades Airport
K2J3,Louisville Municipal Airport
K2J5,Millen Airport
K2M2,Lawrenceburg Lawrence County Airport
K2R9,Karnes County Airport
K2V6,Yuma Municipal Airport
K2W6,St. Mary's County Regional Airport
K33N,Delaware Airpark
K33V,Walden Jackson County Airport
K38S,Deer Lodge City County Airport
K3AU,Augusta Municipal Airport
K3F3,C E 'Rusty' Williams Airport
K3I2,Mason County Airport
K3J7,Greene County Regional Airport
K3K3,Syracuse Hamilton County Municipal Airport
K3K8,Comanche County Airport
K3LF,Litchfield Municipal Airport
K3R7,Jennings Airport
K3S8,Grants Pass Airport
K3T5,Fayette Regional Air Center Airport
K3U3,Bowman Field
K40J,Perry-Foley Airport
K41U,Manti-Ephraim Airport
K42J,Keystone Airpark
K46D,Carrington Municipal Airport
K46U,Alpine Airport
K48A,Cochran Airport
K49A,Gilmer County Airport
K4A6,Scottsboro Municipal Word Field
K4A9,Isbell Field
K4F2,Panola County Sharpe Field
K4I3,Knox County Airport
K4M9,Corning Municipal Airport
K4O4,McCurtain County Regional Airport
K4R5,Madeline Island Airport
K4S1,Gold Beach Municipal Airport
K4S2,Ken Jernstedt Airfield
K4U6,Circle Town County Airport
K4V0,Rangely Airport
K54J,Defuniak Springs Airport
K57C,East Troy Municipal Airport
K5A6,Winona–Montgomery County Airport
K5C1,Boerne Stage Field
K5H4,Harvey Municipal Airport
K5M9,Marion Crittenden County Airport
K5R8,De Quincy Industrial Airpark
K5T9,Maverick County Memorial International Airport
K65S,Boundary County Airport
K66R,Robert R Wells Jr Airport
K6A1,Butler Municipal Airport
K6A2,Griffin Spalding County Airport
K6I2,Lebanon Springfield Airport
K6L4,Logan County Airport
