AGGH,Honiara International Airport
OENG,Nejran Airport
OEPA,Al Qaisumah/Hafr Al Batin Airport
OERF,Rafha Domestic Airport
OERK,King Khaled International Airport
OERR,Arar Domestic Airport
OESH,Sharurah Airport
OESK,Al-Jawf Domestic Airport
OETB,Tabuk Airport
OETF,Ta’if Regional Airport
OETR,Turaif Domestic Airport
OEWD,Wadi Al Dawasir Airport
OEWJ,Al Wajh Domestic Airport
OEYN,Prince Abdulmohsin Bin Abdulaziz Airport
OIAA,Abadan Airport
OIAH,Gachsaran Airport
OIAM,Mahshahr Airport
OIAW,Ahwaz Airport
OIBK,Kish International Airport
OIBL,Bandar Lengeh Airport
OICC,Shahid Ashrafi Esfahani Airport
OICI,Ilam Airport
OIFM,Esfahan Shahid Beheshti International Airport
OIFS,Shahrekord Airport
OIIE,Imam Khomeini International Airport
OIII,Mehrabad International Airport
OIIP,Payam International Airport
OIKB,Bandar Abbas International Airport
OIKK,Kerman Airport
OIKQ,Dayrestan Airport
OIMB,Birjand Airport
OIMC,Sarakhs Airport
OIMD,Gonabad Airport
OIMM,Mashhad International Airport
OIMN,Bojnord Airport
OIMT,Tabas Airport
OINE,Kalaleh Airport
OING,Gorgan Airport
OINN,Noshahr Airport
OINR,Ramsar Airport
OINZ,Dasht-e Naz Airport
OISF,Fasa Airport
OISL,Lar Airport
OISS,Shiraz Shahid Dastghaib International Airport
OISY,Yasouj Airport
OITM,Sahand Airport
OITP,Parsabade Moghan Airport
OITR,Urmia Airport
OITT,Tabriz International Airport
OIZB,Zabol Airport
OIZH,Zahedan International Airport
OIZI,Iran Shahr Airport
OIZJ,Jask Airport
OJAI,Queen Alia International Airport
OJAM,Amman-Marka International Airport
OJAQ,Aqaba King Hussein International Airport
OKAS,Ali Al Salem Air Base
OKBK,Kuwait International Airport
OLBA,Beirut Rafic Hariri International Airport
OMAA,Abu Dhabi International Airport
OMAD,Bateen Airport
OMAL,Al Ain International Airport
OMDB,Dubai International Airport
OMDW,Al Maktoum International Airport
OMFJ,Fujairah International Airport
OMRK,Ras Al Khaimah International Airport
OMSJ,Sharjah International Airport
OOMS,Muscat International Airport
OOSA,Salalah Airport
OOSH,Sohar Airport
OPKC,Jinnah International Airport
OPLA,Alama Iqbal International Airport
OPMT,Multan International Airport
OPNH,Shaheed Benazirabad Airport
OPPS,Peshawar International Airport
OPSK,Sukkur Airport
OPST,Sialkot Airport
ORBI,Baghdad International Airport
ORER,Erbil International Airport
ORMM,Basrah International Airport
ORNI,Al Najaf International Airport
ORSU,Sulaymaniyah International Airport
OSDI,Damascus International Airport
OSKL,Kamishly Airport
OSLK,Bassel Al-Assad International Airport
OTBD,Doha International Airport
OTBH,Al Udeid Air Base
PAAD,Point Thomson Airstrip
PAAK,Atka Airport
PAAQ,"Warren ""Bud"" Woods Palmer Municipal Airport"
PABA,Barter Island LRRS Airport
PABE,Bethel Airport
PABI,Allen Army Airfield
PABL,Buckland Airport
PABR,Wiley Post Will Rogers Memorial Airport
PABT,Bettles Airport
PABV,Birchwood Airport
PACD,Cold Bay Airport
PACM,Scammon Bay Airport
PACV,Merle K (Mudhole) Smith Airport
PACZ,Cape Romanzof LRRS Airport
PADE,Deering Airport
PADG,Red Dog Airport
PADK,Adak Airport
PADL,Dillingham Airport
PADM,Marshall Don Hunter Sr Airport
PADQ,Kodiak Airport
PADU,Unalaska Airport
PAED,Elmendorf Air Force Base
PAEH,Cape Newenham LRRS Airport
PAEI,Eielson Air Force Base
PAEL,Elfin Cove Seaplane Base
PAEN,Kenai Municipal Airport
PAFA,Fairbanks International Airport
PAFB,Ladd AAF Airfield
PAFE,Kake Airport
PAFM,Ambler Airport
PAFR,Bryant Army Heliport
PAFS,Nikolai Airport
PAGA,Edward G. Pitka Sr Airport
PAGH,Shungnak Airport
PAGK,Gulkana Airport
PAGL,Golovin Airport
PAGM,Gambell Airport
PAGN,Angoon Seaplane Base
PAGS,Gustavus Airport
PAGY,Skagway Airport
PAHC,Holy Cross Airport
PAHL,Huslia Airport
PAHN,Haines Airport
PAHO,Homer Airport
PAHP,Hooper Bay Airport
PAHX,Shageluk Airport
PAIG,Igiugig Airport
PAII,Egegik Airport
PAIK,Bob Baker Memorial Airport
PAIL,Iliamna Airport
PAIM,Indian Mountain LRRS Airport
PAIN,McKinley National Park Airport
PAIW,Wales Airport
PAJN,Juneau International Airport
PAJZ,Koliganek Airport
PAKH,Akhiok Airport
PAKI,Kipnuk Airport
PAKK,Koyuk Alfred Adams Airport
PAKN,King Salmon Airport
PAKP,Anaktuvuk Pass Airport
PAKU,Ugnu-Kuparuk Airport
PAKV,Kaltag Airport
PAKW,Klawock Airport
PALH,Lake Hood Airport
PALP,Alpine Airstrip
PALU,Cape Lisburne LRRS Airport
PAMB,Manokotak Airport
PAMC,McGrath Airport
PAMD,Middleton Island Airport
PAMH,Minchumina Airport
PAMK,St Michael Airport
PAMM,Metlakatla Seaplane Base
PAMO,Mountain Village Airport
PAMR,Merrill Field
PAMY,Mekoryuk Airport
PANA,Napakiak Airport
PANC,Ted Stevens Anchorage International Airport
PANI,Aniak Airport
PANN,Nenana Municipal Airport
PANV,Anvik Airport
PANW,New Stuyahok Airport
PAOH,Hoonah Airport
PAOM,Nome Airport
PAOR,Northway Airport
PAOT,Ralph Wien Memorial Airport
PAOU,Nelson Lagoon Airport
PAPB,St George Airport
PAPG,Petersburg James A Johnson Airport
PAPH,Port Heiden Airport
PAPM,Platinum Airport
PAPO,Point Hope Airport
PAQT,Nuiqsut Airport
PARS,Russian Mission Airport
PARY,Ruby Airport
PASA,Savoonga Airport
PASC,Deadhorse Airport
PASD,Sand Point Airport
PASI,Sitka Rocky Gutierrez Airport
PASK,Selawik Airport
PASL,Sleetmute Airport
PASM,St Mary's Airport
PASN,St Paul Island Airport
PASO,Seldovia Airport
PASX,Soldotna Airport
PASY,Eareckson Air Station
PATA,Ralph M Calhoun Memorial Airport
PATC,Tin City Long Range Radar Station Airport
PATE,Teller Airport
PATG,Togiak Airport
PATK,Talkeetna Airport
PATL,Tatalina LRRS Airport
PATQ,Atqasuk Edward Burnell Sr Memorial Airport
PAUN,Unalakleet Airport
PAUT,Akun Airport
PAVA,Chevak Airport
PAVC,King Cove Airport
PAVD,Valdez Pioneer Field
PAVL,Kivalina Airport
PAWD,Seward Airport
PAWG,Wrangell Airport
PAWI,Wainwright Airport
PAWM,White Mountain Airport
PAWN,Noatak Airport
PAYA,Yakutat Airport
PFCL,Clarks Point Airport
PFEL,Elim Airport
PFKT,Brevig Mission Airport
PFNO,Robert (Bob) Curtis Memorial Airport
PFSH,Shaktoolik Airport
PFYU,Fort Yukon Airport
PGRO,Rota International Airport
PGSN,Saipan International Airport
PGUA,Andersen Air Force Base
PGUM,Antonio B. Won Pat International Airport
PGWT,Tinian International Airport
PHBK,Barking Sands Airport
PHHI,Wheeler Army Airfield
PHJH,Kapalua Airport
PHKO,Ellison Onizuka Kona International At Keahole Airport
PHLI,Lihue Airport
PHMK,Molokai Airport
PHNG,Kaneohe Bay MCAS (Marion E. Carl Field) Airport
PHNL,Daniel K Inouye International Airport
PHNY,Lanai Airport
PHOG,Kahului Airport
PHSF,Bradshaw Army Airfield
PHTO,Hilo International Airport
PKWA,Bucholz Army Air Field
PLCH,Cassidy International Airport
PMDY,Henderson Field
PPIZ,Point Lay LRRS Airport
PTKK,Chuuk International Airport
PTRO,Babelthuap Airport
PTYA,Yap International Airport
RCKH,Kaohsiung International Airport
RCMQ,Taichung Ching Chuang Kang Airport
RCNN,Tainan Airport
RCSS,Taipei Songshan Airport
RCTP,Taiwan Taoyuan International Airport
RJAA,Narita International Airport
RJAH,Hyakuri Airport
RJAW,Iwo Jima Airport
RJBB,Kansai International Airport
RJCC,New Chitose Airport
RJCH,Hakodate Airport
RJCO,Okadama Airport
RJDC,Yamaguchi Ube Airport
RJFF,Fukuoka Airport
RJFK,Kagoshima Airport
RJFM,Miyazaki Airport
RJFR,Kitakyūshū Airport
RJFS,Saga Airport
RJFT,Kumamoto Airport
RJFU,Nagasaki Airport
RJGG,Chubu Centrair International Airport
RJKI,Kikai Airport
RJNK,Komatsu Airport
RJNT,Toyama Airport
RJOA,Hiroshima Airport
RJOB,Okayama Airport
RJOC,Izumo Airport
RJOH,Miho Yonago Airport
RJOI,Iwakuni Marine Corps Air Station
RJOK,Kōchi Ryōma Airport
RJOM,Matsuyama Airport
RJOO,Osaka International Airport
RJOR,Tottori Airport
RJOS,Tokushima Airport/JMSDF Air Base
RJOT,Takamatsu Airport
RJOZ,Ozuki Airport
RJSD,Sado Airport
RJSM,Misawa Air Base
RJSN,Niigata Airport
RJSS,Sendai Airport
RJTT,Tokyo Haneda International Airport
RJTY,Yokota Air Base
RKJB,Muan International Airport
RKJJ,Gwangju Airport
RKJK,Kunsan Air Base
RKNW,Wonju/Hoengseong Air Base (K-38/K-46)
RKNY,Yangyang International Airport
RKPC,Jeju International Airport
RKPK,Gimhae International Airport
RKPS,Sacheon Air Base/Airport
RKSG,A 511 Airport
RKSI,Incheon International Airport
RKSM,Seoul Air Base (K-16)
RKSO,Osan Air Base
RKSS,Gimpo International Airport
RKSW,Suwon Airport
RKSY,H 264 Heliport
RKTH,Pohang Airport (G-815/K-3)
RKTN,Daegu Airport
RKTU,Cheongju International Airport/Cheongju Air Base (K-59/G-513)
RKTY,Yecheon Airbase
ROAH,Naha Airport
RODN,Kadena Air Base
ROIG,Ishigaki Airport
ROMD,Minami-Daito Airport
RORK,Kitadaito Airport
RORY,Yoron Airport
ROTM,Futenma Marine Corps Air Station
ROYN,Yonaguni Airport
RPLB,Subic Bay International Airport
RPLC,Diosdado Macapagal International Airport
RPLI,Laoag International Airport
RPLL,Ninoy Aquino International Airport
RPMD,Francisco Bangoy International Airport
RPMZ,Zamboanga International Airport
RPVD,Sibulan Airport
RPVM,Mactan Cebu International Airport
RPVP,Puerto Princesa Airport
SAAR,Islas Malvinas Airport
SABE,Jorge Newbery Airpark
SACO,Ingeniero Ambrosio Taravella Airport
SADF,San Fernando Airport
SAEZ,Ministro Pistarini International Airport
SAME,El Plumerillo Airport
SANT,Teniente Benjamin Matienzo Airport
SAOC,Area De Material Airport
SARC,Corrientes Airport
SARE,Resistencia International Airport
SARF,Formosa Airport
SARI,Cataratas Del Iguazú International Airport
SARL,Paso De Los Libres Airport
SARP,Libertador Gral D Jose De San Martin Airport
SASA,Martin Miguel De Guemes International Airport
SASJ,Gobernador Horacio Guzman International Airport
SAVC,General E. Mosconi Airport
SAWE,Hermes Quijada International Airport
SAWG,Piloto Civil N. Fernández Airport
SAWH,Malvinas Argentinas Airport
SAZM,Ástor Piazzola International Airport
SAZN,Presidente Peron Airport
SAZS,San Carlos De Bariloche Airport
SBAN,Base Aérea Airport
SBAR,Santa Maria Airport
SBBE,Val de Cans/Júlio Cezar Ribeiro International Airport
SBBG,Comandante Gustavo Kraemer Airport
SBBR,Presidente Juscelino Kubistschek International Airport
SBBV,Atlas Brasil Cantanhede Airport
SBCB,Cabo Frio Airport
SBCF,Tancredo Neves International Airport
SBCG,Campo Grande Airport
SBCJ,Carajás Airport
SBCP,Bartolomeu Lisandro Airport
SBCR,Corumbá International Airport
SBCT,Afonso Pena Airport
SBCY,Marechal Rondon Airport
SBEG,Eduardo Gomes International Airport
SBFI,Cataratas International Airport
SBFL,Hercílio Luz International Airport
SBFN,Fernando de Noronha Airport
SBFZ,Pinto Martins International Airport
SBGL,Rio Galeão – Tom Jobim International Airport
SBGO,Santa Genoveva Airport
SBGR,Guarulhos - Governador André Franco Montoro International Airport
SBJP,Presidente Castro Pinto International Airport
SBKP,Viracopos International Airport
SBLO,Governador José Richa Airport
SBMA,João Correa da Rocha Airport
SBMN,Ponta Pelada Airport
SBMO,Zumbi dos Palmares Airport
SBMQ,Alberto Alcolumbre Airport
SBPA,Salgado Filho Airport
SBPB,Prefeito Doutor João Silva Filho Airport
SBPJ,Brigadeiro Lysias Rodrigues Airport
SBPL,Senador Nilo Coelho Airport
SBPP,Ponta Porã Airport
SBPS,Porto Seguro Airport
SBPV,Governador Jorge Teixeira de Oliveira Airport
SBRB,Plácido de Castro Airport
SBRF,Guararapes - Gilberto Freyre International Airport
SBRJ,Santos Dumont Airport
SBRP,Leite Lopes Airport
SBSG,Governador Aluízio Alves International Airport
SBSJ,Professor Urbano Ernesto Stumpf Airport
SBSL,Marechal Cunha Machado International Airport
SBSN,Maestro Wilson Fonseca Airport
SBSP,Congonhas Airport
SBSV,Deputado Luiz Eduardo Magalhães International Airport
SBTE,Senador Petrônio Portela Airport
SBTF,Tefé Airport
SBTT,Tabatinga Airport
SBVT,Eurico de Aguiar Salles Airport
SCAP,Alto Palena Airport
SCAR,Chacalluta Airport
SCAS,Cabo 1° Juan Román Airport
SCAT,Desierto de Atacama Airport
SCBA,Balmaceda Airport
SCCC,Chile Chico Airport
SCCF,El Loa Airport
SCCH,Gral. Bernardo O´Higgins Airport
SCCI,Pdte. Carlos Ibañez del Campo Airport
SCCY,Teniente Vidal Airport
SCDA,Diego Aracena Airport
SCEL,Comodoro Arturo Merino Benítez International Airport
SCFA,Andrés Sabella Gálvez International Airport
SCFT,Futaleufú Airport
SCGE,María Dolores Airport
SCGZ,Guardiamarina Zañartu Airport
SCHR,Cochrane Airport
SCIC,General Freire Airport
SCIE,Carriel Sur Airport
SCIP,Mataveri Airport
SCIR,Robinson Crusoe Airport
SCJO,Cañal Bajo Carlos - Hott Siebert Airport
SCMK,Melinka Airport
SCON,Quellón Airport
SCPQ,Mocopulli Airport
SCQP,La Araucanía Airport
SCRD,Rodelillo Airport
SCRM,Teniente Rodolfo Marsh Martin Base
SCSE,La Florida Airport
SCSN,Santo Domingo Airport
SCTB,Eulogio Sánchez Airport
SCTE,El Tepual Airport
SCTN,Chaitén Airport
SCVD,Pichoy Airport
SCVM,Viña del mar Airport
SEAM,Chachoán Airport
SECO,Francisco De Orellana Airport
SECU,Mariscal Lamar Airport
SEGS,Seymour Airport
SEGU,José Joaquín de Olmedo International Airport
SELT,Cotopaxi International Airport
SEMC,Coronel E Carvajal Airport
SEMT,Eloy Alfaro International Airport
SENL,Nueva Loja Airport
SEQM,Mariscal Sucre International Airport
SERB,Chimborazo Airport
SERO,Santa Rosa International Airport
SESA,General Ulpiano Paez Airport
SESM,Rio Amazonas Airport
SETN,General Rivadeneira Airport
SETU,Teniente Coronel Luis a Mantilla Airport
SGAS,Silvio Pettirossi International Airport
SGEN,Encarnación Airport
SGES,Guarani International Airport
SKBG,Palonegro Airport
SKBO,El Dorado International Airport
SKBQ,Ernesto Cortissoz International Airport
SKCC,Camilo Daza International Airport
SKCG,Rafael Nuñez International Airport
SKCL,Alfonso Bonilla Aragon International Airport
SKIB,Perales Airport
SKLC,Antonio Roldan Betancourt Airport
SKLT,Alfredo Vásquez Cobo International Airport
SKMR,Los Garzones Airport
SKNV,Benito Salas Airport
SKPC,German Olano Airport
SKPE,Matecaña International Airport
SKPV,El Embrujo Airport
SKRG,Jose Maria Córdova International Airport
SKSP,Gustavo Rojas Pinilla International Airport
SKUC,Santiago Perez Airport
SKUI,El Caraño Airport
SKVV,Vanguardia Airport
SLCB,Jorge Wilsterman International Airport
SLET,El Trompillo Airport
SLLP,El Alto International Airport
SLTR,Teniente Av. Jorge Henrich Arauz Airport
SLVR,Viru Viru International Airport
SMJP,Johan Adolf Pengel International Airport
SMZO,Zorg en Hoop Airport
SOCA,Cayenne-Rochambeau Airport
SPCL,Cap FAP David Abenzur Rengifo International Airport
SPGM,Tingo Maria Airport
SPHI,Capitan FAP Jose A Quinones Gonzales International Airport
SPME,Capitan FAP Pedro Canga Rodriguez Airport
SPQT,Coronel FAP Francisco Secada Vignetta International Airport
SPRU,Capitan FAP Carlos Martinez De Pinillos International Airport
SPSO,Capitán FAP Renán Elías Olivera International Airport
SPST,Cadete FAP Guillermo Del Castillo Paredes Airport
SPZO,Alejandro Velasco Astete International Airport
SUAA,Angel S Adami Airport
SUDU,Santa Bernardina International Airport
SULS,Capitan Corbeta CA Curbelo International Airport
SUMU,Carrasco International /General C L Berisso Airport
SUSO,Nueva Hesperides International Airport
SVBM,Barquisimeto International Airport
SVMI,Simón Bolívar International Airport
SVVA,Arturo Michelena International Airport
SYCJ,Cheddi Jagan International Airport
TAPA,V.C. Bird International Airport
TBPB,Sir Grantley Adams International Airport
TDPD,Douglas-Charles Airport
TFFF,Martinique Aimé Césaire International Airport
TFFR,Pointe-à-Pitre Le Raizet
TIST,Cyril E. King Airport
TISX,Henry E Rohlsen Airport
TJBQ,Rafael Hernandez Airport
TJIG,Fernando Luis Ribas Dominicci Airport
TJSJ,Luis Munoz Marin International Airport
TKPK,Robert L. Bradshaw International Airport
TLPC,George F. L. Charles Airport
TLPL,Hewanorra International Airport
TNCA,Queen Beatrix International Airport
TNCB,Flamingo International Airport
TNCC,Hato International Airport
TNCE,F. D. Roosevelt Airport
TNCM,Princess Juliana International Airport
TTCP,Tobago-Crown Point Airport
TTPP,Piarco International Airport
TXKF,L.F. Wade International International Airport
UAAA,Almaty Airport
UACC,Astana International Airport
UADD,Taraz Airport
UAII,Shymkent Airport
UAKK,Sary-Arka Airport
UAOO,Kzyl-Orda Southwest Airport
UARR,Uralsk Airport
UASK,Ust-Kamennogorsk Airport
UASP,Pavlodar Airport
UATE,Aktau Airport
UATG,Atyrau Airport
UATT,Aktobe Airport
UAUU,Kostanay West Airport
UBBB,Heydar Aliyev International Airport
UBBG,Ganja Airport
UBBL,Lankaran International Airport
UBBN,Nakhchivan Airport
UBBQ,Gabala International Airport
UBBY,Zaqatala International Airport
UDSG,Gyumri Shirak Airport
UEEE,Yakutsk Airport
UERP,Polyarny Airport
UERR,Mirny Airport
UGKO,Kopitnari Airport
UGSB,Batumi International Airport
UGTB,Tbilisi International Airport
UHBB,Ignatyevo Airport
UHHH,Khabarovsk-Novy Airport
UHMA,Ugolny Airport
UHMD,Provideniya Bay Airport
UHMM,Sokol Airport
UHPP,Yelizovo Airport
UHSS,Yuzhno-Sakhalinsk Airport
UHWW,Vladivostok International Airport
UIAA,Chita-Kadala Airport
UIBB,Bratsk Airport
UIII,Irkutsk Airport
UIUU,Ulan-Ude Airport (Mukhino)
UKBB,Boryspil International Airport
UKDD,Dnipropetrovsk International Airport
UKDR,Kryvyi Rih International Airport
UKKK,Kiev Zhuliany International Airport
UKKM,Gostomel Airport
UKLL,Lviv International Airport
UKOO,Odessa International Airport
ULAA,Talagi Airport
ULLI,Pulkovo Airport
ULMM,Murmansk Airport
ULOO,Pskov Airport
ULPB,Petrozavodsk Airport
UMGG,Gomel Airport
UMKK,Khrabrovo Airport
UMMS,Minsk National Airport
UNAA,Abakan Airport
UNBB,Barnaul Airport
UNEE,Kemerovo Airport
UNKL,Yemelyanovo Airport
UNNT,Tolmachevo Airport
UNOO,Omsk Central Airport
UNTT,Bogashevo Airport
URKA,Anapa Vityazevo Airport
URKK,Krasnodar Pashkovsky International Airport
URMG,Khankala Air Base
URML,Uytash Airport
URMM,Mineralnyye Vody Airport
URMN,Nalchik Airport
URMO,Beslan Airport
URMT,Stavropol Shpakovskoye Airport
URRP,Platov International Airport
URSS,Sochi International Airport
URWA,Astrakhan Airport
URWI,Elista Airport
URWW,Volgograd International Airport
USCC,Chelyabinsk Balandino Airport
USCM,Magnitogorsk International Airport
USHH,Khanty Mansiysk Airport
USNN,Nizhnevartovsk Airport
USPP,Bolshoye Savino Airport
USRR,Surgut Airport
USSS,Koltsovo Airport
USTR,Roshchino International Airport
UTAA,Ashgabat International Airport
UTAK,Turkmenbashi Airport
UTAM,Mary Airport
UTAT,Daşoguz Airport
UTAV,Turkmenabat Airport
UTDD,Dushanbe Airport
UTDK,Kulob Airport
UTDL,Khudzhand Airport
UTDT,Qurghonteppa International Airport
UTNN,Nukus Airport
UTNU,Urgench Airport
UTSA,Navoi Airport
UTSB,Bukhara Airport
UTSS,Samarkand Airport
UTST,Termez Airport
UTTT,Tashkent International Airport
UUBC,Grabtsevo Airport
UUBW,Zhukovsky International Airport
UUDD,Domodedovo International Airport
UUDL,Tunoshna Airport
UUEE,Sheremetyevo International Airport
UUMO,Ostafyevo International Airport
UUOB,Belgorod International Airport
UUOL,Lipetsk Airport
UUOO,Voronezh International Airport
UUWW,Vnukovo International Airport
UUYY,Syktyvkar Airport
UWGG,Nizhny Novgorod Strigino International Airport
UWKD,Kazan International Airport
UWKE,Begishevo Airport
UWKS,Cheboksary Airport
UWLW,Ulyanovsk East Airport
UWOO,Orenburg Central Airport
UWOR,Orsk Airport
UWUU,Ufa International Airport
UWWW,Kurumoch International Airport
VAAH,Sardar Vallabhbhai Patel International Airport
VABB,Chhatrapati Shivaji International Airport
VAID,Devi Ahilyabai Holkar Airport
VANP,Dr. Babasaheb Ambedkar International Airport
VCBI,Bandaranaike International Colombo Airport
VDPP,Phnom Penh International Airport
VDSR,Siem Reap International Airport
VEBS,Biju Patnaik Airport
VECC,Netaji Subhash Chandra Bose International Airport
VEGY,Gaya Airport
VEPT,Lok Nayak Jayaprakash Airport
VHHH,Hong Kong International Airport
VIAR,Sri Guru Ram Dass Jee International Airport
VIDP,Indira Gandhi International Airport
VIJP,Jaipur International Airport
VILK,Chaudhary Charan Singh International Airport
VMMC,Macau International Airport
VNKT,Tribhuvan International Airport
VOBL,Kempegowda International Airport
VOCB,Coimbatore International Airport
VOCI,Cochin International Airport
VOHS,Rajiv Gandhi International Airport
VOML,Mangalore International Airport
VOMM,Chennai International Airport
VOTR,Tiruchirapally Civil Airport Airport
VOTV,Trivandrum International Airport
VRMM,Malé International Airport
VTBD,Don Mueang International Airport
VTBS,Suvarnabhumi Airport
VTBU,U-Tapao International Airport
VTCC,Chiang Mai International Airport
VTCT,Chiang Rai International Airport
VTSG,Krabi Airport
VTSP,Phuket International Airport
VTSS,Hat Yai International Airport
VTUK,Khon Kaen Airport
VTUU,Ubon Ratchathani Airport
VVCI,Cat Bi International Airport
VVCR,Cam Ranh Airport
VVDN,Da Nang International Airport
VVNB,Noi Bai International Airport
VVPB,Phu Bai Airport
VVTS,Tan Son Nhat International Airport
VYYY,Yangon International Airport
WAAA,Hasanuddin International Airport
WADD,Ngurah Rai (Bali) International Airport
WADL,Lombok International Airport
WAJJ,Sentani International Airport
WAMM,Sam Ratulangi Airport
WAOO,Syamsudin Noor Airport
WBGB,Bintulu Airport
WBGG,Kuching International Airport
WBGR,Miri Airport
WBGS,Sibu Airport
WBGY,Simanggang Airport
WBKK,Kota Kinabalu International Airport
WBKL,Labuan Airport
WBKS,Sandakan Airport
WBKW,Tawau Airport
WBSB,Brunei International Airport
WIBB,Sultan Syarif Kasim Ii (Simpang Tiga) Airport
WIHH,Halim Perdanakusuma International Airport
WIII,Soekarno-Hatta International Airport
WIMM,Kualanamu International Airport
WMAU,Mersing Airport
WMBA,Sitiawan Airport
WMKA,Sultan Abdul Halim Airport
WMKB,Butterworth Airport
WMKC,Sultan Ismail Petra Airport
WMKD,Kuantan Airport
WMKE,Kerteh Airport
WMKI,Sultan Azlan Shah Airport
WMKJ,Senai International Airport
WMKK,Kuala Lumpur International Airport
WMKL,Langkawi International Airport
WMKM,Malacca Airport
WMKN,Sultan Mahmud Airport
WMKP,Penang International Airport
WMSA,Sultan Abdul Aziz Shah International Airport
WSAP,Paya Lebar Air Base
WSSL,Seletar Airport
WSSS,Singapore Changi Airport
YABA,Albany Airport
YAMB,RAAF Base Amberley
YARG,Argyle Airport
YAYE,Ayers Rock Connellan Airport
YBAS,Alice Springs Airport
YBBN,Brisbane International Airport
YBCG,Gold Coast Airport
YBCS,Cairns International Airport
YBCV,Charleville Airport
YBDV,Birdsville Airport
YBHI,Broken Hill Airport
YBHM,Hamilton Island Airport
YBLN,Busselton Regional Airport
YBMA,Mount Isa Airport
YBMK,Mackay Airport
YBNA,Ballina Byron Gateway Airport
YBOK,Oakey Airport
YBPN,Proserpine Whitsunday Coast Airport
YBRK,Rockhampton Airport
YBRM,Broome International Airport
YBTL,Townsville Airport
YBUD,Bundaberg Airport
YBWP,Weipa Airport
YBWX,Barrow Island Airport
YCAR,Carnarvon Airport
YCAS,Casino Airport
YCBA,Cobar Airport
YCBB,Coonabarabran Airport
YCBP,Coober Pedy Airport
YCCY,Cloncurry Airport
YCDU,Ceduna Airport
YCIN,RAAF Base Curtin
YCNM,Coonamble Airport
YCOM,Cooma Snowy Mountains Airport
YDBY,Derby Airport
YEML,Emerald Airport
YESP,Esperance Airport
YFRT,Forrest Airport
YGEL,Geraldton Airport
YGFN,Grafton Airport
YGLA,Gladstone Airport
YGTE,Groote Eylandt Airport
YGTH,Griffith Airport
YHID,Horn Island Airport
YHUG,Hughenden Airport
YKRY,Kingaroy Airport
YLEC,Leigh Creek Airport
YLHI,Lord Howe Island Airport
YLIS,Lismore Airport
YLRE,Longreach Airport
YMAV,Avalon Airport
YMAY,Albury Airport
YMDG,Mudgee Airport
YMEK,Meekatharra Airport
YMEN,Melbourne Essendon Airport
YMER,Merimbula Airport
YMHB,Hobart International Airport
YMIA,Mildura Airport
YMLT,Launceston Airport
YMML,Melbourne International Airport
YMOR,Moree Airport
YMTG,Mount Gambier Airport
YNAR,Narrandera Airport
YNBR,Narrabri Airport
YNTN,Normanton Airport
YNWN,Newman Airport
YOLD,Olympic Dam Airport
YPAD,Adelaide International Airport
YPBO,Paraburdoo Airport
YPCC,Cocos (Keeling) Islands Airport
YPDN,Darwin International Airport
YPEA,RAAF Base Pearce
YPGV,Gove Airport
YPJT,Perth Jandakot Airport
YPKG,Kalgoorlie Boulder Airport
YPKU,Kununurra Airport
YPLM,Learmonth Airport
YPPD,Port Hedland International Airport
YPPH,Perth International Airport
YPTN,Tindal Airport
YPWR,Woomera Airfield
YPXM,Christmas Island Airport
YRMD,Richmond Airport
YSCB,Canberra International Airport
YSDU,Dubbo City Regional Airport
YSNF,Norfolk Island International Airport
YSNW,Nowra Airport
YSRI,RAAF Base Richmond
YSSY,Sydney Kingsford Smith International Airport
YSTW,Tamworth Airport
YSWG,Wagga Wagga City Airport
YTEF,Telfer Airport
YTNK,Tennant Creek Airport
YTRE,Taree Airport
YWGT,Wangaratta Airport
YWHA,Whyalla Airport
YWLM,Newcastle Airport
ZBAA,Beijing Capital International Airport
ZBAD,Beijing Daxing International Airport
ZBHH,Baita International Airport
ZBSJ,Shijiazhuang Daguocun International Airport
ZBTJ,Tianjin Binhai International Airport
ZBYN,Taiyuan Wusu Airport
ZGGG,Guangzhou Baiyun International Airport
ZGHA,Changsha Huanghua International Airport
ZGKL,Guilin Liangjiang International Airport
ZGNN,Nanning Wuxu Airport
ZGOW,Jieyang Chaoshan International Airport
ZGSZ,Shenzhen Bao'an International Airport
ZHCC,Zhengzhou Xinzheng International Airport
ZHHH,Wuhan Tianhe International Airport
ZJHK,Haikou Meilan International Airport
ZJSY,Sanya Phoenix International Airport
ZLLL,Lanzhou Zhongchuan Airport
ZLXY,Xi'an Xianyang International Airport
ZMUB,Chinggis Khaan International Airport
ZPPP,Kunming Changshui International Airport
ZSAM,Xiamen Gaoqi International Airport
ZSFZ,Fuzhou Changle International Airport
ZSHC,Hangzhou Xiaoshan International Airport
ZSNB,Ningbo Lishe International Airport
ZSNJ,Nanjing Lukou Airport
ZSOF,Hefei Luogang International Airport
ZSPD,Shanghai Pudong International Airport
ZSQD,Liuting Airport
ZSSS,Shanghai Hongqiao International Airport
ZUCK,Chongqing Jiangbei International Airport
ZUGY,Longdongbao Airport
ZUUU,Chengdu Shuangliu International Airport
ZWSH,Kashgar Airport
ZWWW,Ürümqi Diwopu International Airport
ZYCC,Longjia Airport
ZYHB,Taiping Airport
ZYTL,Zhoushuizi Airport
ZYTX,Taoxian Airport
